date,pnl
2020-06-01,-0.0004838783131433512
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-15,-0.0014743360222415076
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-22,0.0
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,0.0
2020-06-26,0.0
2020-06-29,0.0
2020-06-30,0.0014538973829848814
2020-07-01,0.0005346068857368098
2020-07-02,0.0
2020-07-03,0.0
2020-07-06,0.0008341479801163415
2020-07-07,0.0
2020-07-08,0.0
2020-07-09,0.0
2020-07-10,0.0
2020-07-13,0.0016272096767770594
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,0.0
2020-07-20,0.0
2020-07-21,0.0
2020-07-22,0.0
2020-07-23,0.0
2020-07-24,0.0
2020-07-27,0.0
2020-07-28,-0.0016158430176191523
2020-07-29,0.0
2020-07-30,0.0
2020-07-31,0.0
2020-08-03,0.0005057084774826497
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-10,0.0
2020-08-11,0.0
2020-08-12,0.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-17,-0.0001243422577163003
2020-08-18,0.0
2020-08-19,0.0
2020-08-20,0.0020933059606257176
2020-08-21,0.0
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,-0.0028843107679358783
2020-08-27,0.0006181545520277336
2020-08-28,0.0
2020-08-31,0.0007714440598807484
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,0.0
2020-09-04,0.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,0.0
2020-09-11,0.0
2020-09-14,0.0007107231920200125
2020-09-15,0.000357765752873235
2020-09-16,0.002499218994064365
2020-09-17,0.0013434633558787733
2020-09-18,0.0
2020-09-21,0.0
2020-09-22,0.0
2020-09-23,0.0
2020-09-24,0.006729855385168643
2020-09-25,-0.0001474491300501383
2020-09-28,0.0
2020-09-29,0.0
2020-09-30,0.0
2020-10-01,0.0
2020-10-02,-0.002735914676559255
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-12,0.0
2020-10-13,0.0
2020-10-14,4.3401835897619e-05
2020-10-15,0.0
2020-10-16,0.0
2020-10-19,0.0
2020-10-20,0.0
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,0.0
2020-11-02,0.0
2020-11-03,0.00021255491001836234
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.002152501467614657
2020-11-19,0.0002957704821059531
2020-11-20,0.0
2020-11-23,-0.0003075178504501642
2020-11-24,0.0
2020-11-25,-0.001269396016049483
2020-11-26,0.0
2020-11-27,0.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,-0.0013369454315167134
2020-12-03,0.0
2020-12-04,0.0
2020-12-07,-0.0005749421065240176
2020-12-08,0.0
2020-12-09,0.0
2020-12-10,0.0017071442375830369
2020-12-11,0.0
2020-12-14,-0.0023234091319398395
2020-12-15,0.0
2020-12-16,0.0
2020-12-17,-0.0007088883695568137
2020-12-18,0.0
2020-12-21,0.0
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,-0.0006033182503770396
2020-12-25,0.0
2020-12-28,0.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,-0.0017453469051508677
2021-01-01,0.0
2021-01-04,-0.0014151007578952603
2021-01-05,0.0010958829975783139
2021-01-06,0.0
2021-01-07,-0.0006949184091332867
2021-01-08,-0.0011783634344762824
2021-01-11,0.0
